Using device: cuda
Epoch [2/50], Step [860/938], D_loss: 0.5931, G_loss: 1.7587, D(x): 0.94, D(G(z)): 0.39
Epoch [2/50], Step [870/938], D_loss: 0.3425, G_loss: 2.4584, D(x): 0.89, D(G(z)): 0.19
Epoch [2/50], Step [880/938], D_loss: 0.2591, G_loss: 2.2554, D(x): 0.88, D(G(z)): 0.11
Epoch [2/50], Step [890/938], D_loss: 0.3569, G_loss: 1.7121, D(x): 0.79, D(G(z)): 0.08
Epoch [2/50], Step [900/938], D_loss: 2.9747, G_loss: 2.5877, D(x): 0.99, D(G(z)): 0.91
Epoch [2/50], Step [910/938], D_loss: 0.4244, G_loss: 1.9564, D(x): 0.86, D(G(z)): 0.22
Epoch [2/50], Step [920/938], D_loss: 0.4205, G_loss: 2.7511, D(x): 0.94, D(G(z)): 0.28
Epoch [2/50], Step [930/938], D_loss: 0.2665, G_loss: 2.1507, D(x): 0.88, D(G(z)): 0.12
Epoch [3/50], Step [10/938], D_loss: 0.3949, G_loss: 1.5431, D(x): 0.77, D(G(z)): 0.11
Epoch [3/50], Step [20/938], D_loss: 0.2721, G_loss: 2.4746, D(x): 0.86, D(G(z)): 0.10
Epoch [3/50], Step [30/938], D_loss: 1.5195, G_loss: 1.6218, D(x): 0.30, D(G(z)): 0.01
Epoch [3/50], Step [40/938], D_loss: 0.6767, G_loss: 1.2012, D(x): 0.62, D(G(z)): 0.12
Epoch [3/50], Step [50/938], D_loss: 0.6343, G_loss: 1.2171, D(x): 0.70, D(G(z)): 0.19
Epoch [3/50], Step [60/938], D_loss: 0.7435, G_loss: 0.9115, D(x): 0.57, D(G(z)): 0.11
Epoch [3/50], Step [70/938], D_loss: 0.5503, G_loss: 1.7473, D(x): 0.78, D(G(z)): 0.23
Epoch [3/50], Step [80/938], D_loss: 0.5281, G_loss: 1.2304, D(x): 0.72, D(G(z)): 0.13
Epoch [3/50], Step [90/938], D_loss: 0.3924, G_loss: 2.2697, D(x): 0.85, D(G(z)): 0.18
Epoch [3/50], Step [100/938], D_loss: 0.3928, G_loss: 1.4703, D(x): 0.76, D(G(z)): 0.08
Epoch [3/50], Step [110/938], D_loss: 0.3672, G_loss: 1.8002, D(x): 0.81, D(G(z)): 0.13
Epoch [3/50], Step [120/938], D_loss: 1.0122, G_loss: 4.9220, D(x): 0.98, D(G(z)): 0.60
Epoch [3/50], Step [130/938], D_loss: 0.6064, G_loss: 1.7136, D(x): 0.75, D(G(z)): 0.23
Epoch [3/50], Step [140/938], D_loss: 0.5580, G_loss: 1.8107, D(x): 0.77, D(G(z)): 0.23
Epoch [3/50], Step [150/938], D_loss: 0.4735, G_loss: 1.7863, D(x): 0.80, D(G(z)): 0.19
Epoch [3/50], Step [160/938], D_loss: 0.3335, G_loss: 2.1585, D(x): 0.84, D(G(z)): 0.13
Epoch [3/50], Step [170/938], D_loss: 0.5493, G_loss: 1.1433, D(x): 0.67, D(G(z)): 0.07
Epoch [3/50], Step [180/938], D_loss: 0.3816, G_loss: 1.9147, D(x): 0.82, D(G(z)): 0.15
Epoch [3/50], Step [190/938], D_loss: 0.3716, G_loss: 1.8499, D(x): 0.81, D(G(z)): 0.12
Epoch [3/50], Step [200/938], D_loss: 0.2723, G_loss: 1.8249, D(x): 0.85, D(G(z)): 0.10
Epoch [3/50], Step [210/938], D_loss: 0.3094, G_loss: 2.0352, D(x): 0.83, D(G(z)): 0.10
Epoch [3/50], Step [220/938], D_loss: 0.3062, G_loss: 2.8288, D(x): 0.90, D(G(z)): 0.17
Epoch [3/50], Step [230/938], D_loss: 0.3177, G_loss: 2.3052, D(x): 0.83, D(G(z)): 0.10
Epoch [3/50], Step [240/938], D_loss: 0.3214, G_loss: 1.8494, D(x): 0.80, D(G(z)): 0.08
Epoch [3/50], Step [250/938], D_loss: 1.0248, G_loss: 0.8660, D(x): 0.46, D(G(z)): 0.08
Epoch [3/50], Step [260/938], D_loss: 0.5698, G_loss: 1.3191, D(x): 0.74, D(G(z)): 0.19
Epoch [3/50], Step [270/938], D_loss: 0.3902, G_loss: 1.8166, D(x): 0.85, D(G(z)): 0.19
Epoch [3/50], Step [280/938], D_loss: 0.4324, G_loss: 2.2973, D(x): 0.88, D(G(z)): 0.24
Epoch [3/50], Step [290/938], D_loss: 0.3852, G_loss: 2.5507, D(x): 0.92, D(G(z)): 0.24
Epoch [3/50], Step [300/938], D_loss: 0.3824, G_loss: 3.0618, D(x): 0.92, D(G(z)): 0.24
Epoch [3/50], Step [310/938], D_loss: 0.6381, G_loss: 1.3670, D(x): 0.68, D(G(z)): 0.16
Epoch [3/50], Step [320/938], D_loss: 0.5667, G_loss: 1.6525, D(x): 0.74, D(G(z)): 0.20
Epoch [3/50], Step [330/938], D_loss: 0.4443, G_loss: 1.4813, D(x): 0.70, D(G(z)): 0.05
Epoch [3/50], Step [340/938], D_loss: 0.4176, G_loss: 1.4023, D(x): 0.75, D(G(z)): 0.10
Epoch [3/50], Step [350/938], D_loss: 0.4269, G_loss: 2.8450, D(x): 0.91, D(G(z)): 0.26
Epoch [3/50], Step [360/938], D_loss: 0.4390, G_loss: 3.3397, D(x): 0.95, D(G(z)): 0.30
Epoch [3/50], Step [370/938], D_loss: 0.2824, G_loss: 2.4512, D(x): 0.93, D(G(z)): 0.18
Epoch [3/50], Step [380/938], D_loss: 0.6717, G_loss: 0.8929, D(x): 0.61, D(G(z)): 0.10
Epoch [3/50], Step [390/938], D_loss: 0.3893, G_loss: 2.1451, D(x): 0.86, D(G(z)): 0.20
Epoch [3/50], Step [400/938], D_loss: 0.4235, G_loss: 1.7229, D(x): 0.81, D(G(z)): 0.14
Epoch [3/50], Step [410/938], D_loss: 0.2542, G_loss: 2.6350, D(x): 0.88, D(G(z)): 0.11
Epoch [3/50], Step [420/938], D_loss: 1.3828, G_loss: 1.8518, D(x): 0.38, D(G(z)): 0.06
Epoch [3/50], Step [430/938], D_loss: 0.7403, G_loss: 1.3065, D(x): 0.69, D(G(z)): 0.26
Epoch [3/50], Step [440/938], D_loss: 0.8764, G_loss: 0.8264, D(x): 0.56, D(G(z)): 0.16
Epoch [3/50], Step [450/938], D_loss: 0.6332, G_loss: 1.4884, D(x): 0.68, D(G(z)): 0.16
Epoch [3/50], Step [460/938], D_loss: 0.5393, G_loss: 1.6450, D(x): 0.76, D(G(z)): 0.20
Epoch [3/50], Step [470/938], D_loss: 0.4963, G_loss: 1.6049, D(x): 0.74, D(G(z)): 0.15
Epoch [3/50], Step [480/938], D_loss: 0.4391, G_loss: 2.1226, D(x): 0.89, D(G(z)): 0.26
Epoch [3/50], Step [490/938], D_loss: 0.5075, G_loss: 1.3961, D(x): 0.71, D(G(z)): 0.11
Epoch [3/50], Step [500/938], D_loss: 0.3290, G_loss: 2.1069, D(x): 0.86, D(G(z)): 0.15
